일련번호,구분,아파트명,도로명주소,준공년도,동수,세대수,관리사무소 전화번호,관리사무소 팩스번호
1,안양1동,삼성래미안,경기도 안양시 만안구 안양천서로 311 ,2002,17,1998,031-466-2831,031-466-2832
2,안양1동,안양 주공뜨란채,경기도 안양시 만안구 안양천서로 289,2004,11,1093,031-441-6202,031-441-6203
3,안양1동,안양역 한양수자인 리버파크,경기도 안양시 만안구 안양천서로 357,2019,4,419,031-468-9912,031-468-9914
4,안양1동,안양역푸르지오더샵,경기도 안양시 만안구 장내로 182-2,2024,23,2736,031-441-2006,031-441-2007
5,안양2동,안양동 삼성,경기도 안양시 만안구 예술공원로 59 ,1994,4,366,031-471-5898,031-347-2593
6,안양2동,안양대우,경기도 안양시 만안구 경수대로1001번길 116,1991,5,498,031-473-3582,031-341-3582
7,안양2동,경남아너스빌,경기도 안양시 만안구 태평로 214,2001,2,248,031-464-2134,031-342-8596
8,안양2동,미래엠피아,경기도 안양시 만안구 만안로 272 ,2003,1,167,031-466-0036,031-441-0036
9,안양2동,두산위브더아티움아파트,경기도 안양시 만안구 예술공원로 49,2022,6,558,031-471-2822,031-471-2823
10,안양2동,아르테자이아파트,경기도 안양시 만안구 경수대로1166번길 9+경기도 안양시 만안구 경수대로1166번길10,2022,12,1021,031-471-9181,031-471-9182
11,안양3동,흥화,경기도 안양시 만안구 장내로 56,1996,1,152,031-448-7697,031-448-7697
12,안양3동,성원1차,경기도 안양시 만안구 병목안로 81,1995,8,934,031-441-4668,031-464-5554
13,안양3동,진흥5차,경기도 안양시 만안구 양화로71번길 24,1987,5,432,031-443-2295,031-443-2291
14,안양3동,정우,경기도 안양시 만안구 양화로 53 ,1985,2,351,031-447-3199,031-443-3199
15,안양4동,안양 벽산,경기도 안양시 만안구 장내로 124,1985,3,275,031-466-2167,031-469-3706
16,안양4동,수리산성원쌍떼빌1차,경기도 안양시 만안구 장내로 76,2006,5,469,031-469-0076,031-469-2112
17,안양4동,성원2차,경기도 안양시 만안구 병목안로 61,1996,2,171,031-449-8179,031-449-8179
18,안양5동,성원5차,경기도 안양시 만안구 현충로 102,1997,1,192,031-449-1852,031-449-1851
19,안양5동,수리산성원 쌍떼빌2차,경기도 안양시 만안구 삼덕로63번길 32,2007,7,436,031-442-0053,031-442-0766
20,안양5동,냉천현대,경기도 안양시 만안구 삼덕로 57,1997,2,314,031-447-1284,031-464-1285
21,안양6동,안양세양청마루주상복합,경기도 안양시 만안구 만안로 91,2008,1,271,031-441-9661,031-441-9668
22,안양6동,안양씨엘포레자이,경기도 안양시 만안구 소곡로 78,2021,13,1394,031-360-3771,031-360-3772
23,안양6동,안양센트럴헤센1차,경기도 안양시 만안구 안양로 174,2020,2,188,031-469-9083,031-469-9084
24,안양6동,안양 명학역유보라 더스마트,경기도 안양시 만안구 안양로 96,2020,2,200,031-469-9398,031-469-9399
25,안양6동,명지캐럿주상복합,경기도 안양시 만안구 만안로 17,2006,1,162,031-441-7667,031-466-4643
26,안양6동,빌로채주상복합,경기도 안양시 만안구 만안로 35,2009,1,153,031-442-5336,031-442-5344
27,안양7동,한승미메이드,경기도 안양시 만안구 태평로60번길 16,2005,1,218,031-441-0818,031-441-6323
28,안양7동,래미안안양 메가트리아,경기도 안양시 만안구 안양천서로 177,2016,35,4250,031-441-4250,031-441-4254
29,안양7동,광신프로그래스리버뷰,경기도 안양시 만안구 전파로61번길 20,2021,3,230,031-447-2800,031-447-2801
30,안양8동,삼호수정,경기도 안양시 만안구 안양로13번길 11 ,1996,3,250,031-442-8073,031-443-8073
31,안양9동,금용,경기도 안양시 만안구 병목안로 179,1997,1,159,031-448-1504,031-448-1503
32,안양9동,프라자,경기도 안양시 만안구 병목안로 103,1987,6,637,031-449-1994,031-468-6714
33,안양9동,율목주공,경기도 안양시 만안구 병목안로110번길 12,2000,4,339,031-469-2206,031-342-2206
34,안양9동,효성화운트빌,경기도 안양시 만안구 병목안로130번길 83,2003,4,350,031-342-0200,031-464-0100
35,안양9동,수리산힐스테이트,경기도 안양시 만안구 창박로 38,2006,5,441,031-441-2596,031-441-2591
36,안양9동,수리산현대홈타운,경기도 안양시 만안구 창박로 30+경기도 안양시 만안구 창박로 17,2001,4,356,031-464-0356,031-464-0357
37,안양9동,수리산 흥화브라운빌,경기도 안양시 만안구 병목안로 220 ,2003,3,224,031-346-1114,031-346-1115
38,석수1동,석수대주파크빌,경기도 안양시 만안구 경수대로1273번길 55,2005,2,256,031-471-3527,031-471-3537
39,석수1동,관악산현대홈타운,경기도 안양시 만안구 경수대로1244번길 48 ,2001,9,376,031-474-1094,031-474-1095
40,석수1동,석수경남아너스빌,경기도 안양시 만안구 경수대로1219번길 8,2002,6,704,031-473-1294,031-473-1295
41,석수1동,석수e편한세상,경기도 안양시 만안구 경수대로 1193 ,2002,20,1908,031-472-3704,031-472-3708
42,석수1동,석수역푸르지오,경기도 안양시 만안구 삼성산길 8,2009,10,542,031-471-1048,031-471-1047
43,석수1동,석수2차e편한세상,경기도 안양시 만안구 경수대로 1394번길 11,2006,4,231,031-471-7019,031-471-7029
44,석수1동,구룡주공그린빌,경기도 안양시 만안구 삼막로 12,2001,7,543,031-346-8611,031-346-8612
45,석수1동,관악이안,경기도 안양시 만안구 경수대로1290번길 15,2010,6,271,031-472-7283,031-472-7284
46,석수1동,힐스테이트석수,경기도 안양시 동안구 경수대로 1394번길 12,2015,5,239,031-472-9030,031-472-9031
47,석수2동,석수두산위브,경기도 안양시 만안구 연현로79번길 20,2010,12,742,031-471-0617,031-471-0612
48,석수2동,석수현대,경기도 안양시 만안구 안양로532번길 12 ,1999,7,1088,031-472-1962,031-472-1963
49,석수2동,석수럭키,경기도 안양시 만안구 석수로 40 ,1987,9,735,031-471-6371,031-342-6524
50,석수2동,석수현진에버빌,경기도 안양시 만안구 연현로 75 ,2007,3,154,031-472-4700,031-472-4700
51,석수2동,LG빌리지,경기도 안양시 만안구 연현로79번길 105,2001,34,1872,031-474-1872,031-474-5301
52,석수2동,남광하우스토리,경기도 안양시 만안구 연현로 29,2011,6,281,031-472-9997,031-472-9998
53,충훈동,석수영풍마드레빌,경기도 안양시 만안구 화창로 98,2003,1,206,031-473-0144,031-473-0145
54,충훈동,석수아이파크,경기도 안양시 만안구 충훈로 51,2009,15,1134,031-474-3330,031-474-3349
55,충훈동,코오롱하늘채,경기도 안양시 만안구 충훈로 92,2010,11,553,031-474-2242,031-474-2243
56,박달1동,박달한신휴플러스타운1차,경기도 안양시 만안구 양화로135번길 80 ,2005,2,178,031-468-2976,031-468-2954
57,박달1동,박달한신휴플러스타운2차,경기도 안양시 만안구 박달로507번길 57,2006,1,205,031-466-0040,031-466-0042
58,박달1동,박달한신휴플러스타운3차,경기도 안양시 만안구 박달로497번길 57,2009,5,392,031-441-3336,031-441-3396
59,박달1동,박달벽산,경기도 안양시 만안구 양화로135번길 45,1996,6,386,031-466-1056,031-466-1060
60,박달2동,박달우성,경기도 안양시 만안구 박달로498번길 28,1990,9,1020,031-466-7200,031-469-8821
61,박달2동,한라비발디,경기도 안양시 만안구 박달로 453 ,2000,12,1385,031-464-0053,031-464-0054
62,박달2동,안양극동스타클래스,경기도 안양시 만안구 삼봉로 35 ,1991,3,312,031-447-5815,031-341-5815
63,박달2동,박달금호,경기도 안양시 만안구 삼봉로 61,1996,6,752,031-444-4908,031-444-4909
64,박달2동,박달신안,경기도 안양시 만안구 박달로 420,1991,2,296,031-449-1494,031-449-1496
65,박달2동,한일유앤아이,경기도 안양시 만안구 박달로 403,2005,6,375,031-441-6586,031-441-6587
66,박달2동,대림한숲아파트,경기도 안양시 만안구 박달로 344,2001,5,728,031-342-2230,031-342-2231
67,박달2동,한양수자인에듀파크,경기도 안양시 만안구 만안로 충훈로 14,2017,6,348,031-465-9335,031-465-9336
68,비산1동,더포레스트힐,경기도 안양시 동안구 임곡로 43 ,2003,18,2047,031-347-8858,031-347-8859
69,비산1동,비산삼성래미안,경기도 안양시 동안구 관악대로 121,2003,44,3806,031-468-2200,031-468-9060
70,비산1동,임곡휴먼시아2차,경기도 안양시 동안구 임곡로 16,2007,6,492,031-447-7026,031-447-7027
71,비산1동,비산대광로제비앙,경기도 안양시 동안구 경수대로 946,2017,3,219,031-468-9780,031-468-9781
72,비산1동,평촌자이아이파크,경기도 안양시 동안구 비산로 22,2021,22,2737,031-464-2226,031-464-2227
73,비산1동,힐스테이트비산파크뷰,경기도 안양시 동안구 임곡로 70,2022,5,303,031-465-9001,031-465-9002
74,비산1동,비산한신더휴아파트,경기도 안양시 동안구 비산로 9,2023,2,230,031-468-9490,031-468-9491
75,비산2동,미륭,경기도 안양시 동안구 관악대로 164,1979,6,576,031-385-7475,031-385-7476
76,비산2동,비산롯데캐슬,경기도 안양시 동안구 관악대로106번길 72,2003,16,956,031-476-0955,031-476-0956
77,비산2동,비산힐스테이트,경기도 안양시 동안구 안양천동로 162,2005,7,551,031-447-2700,031-446-2434
78,비산2동,비산e편한세상,경기도 안양시 동안구 관악대로 171 ,2008,10,486,031-349-5757,031-349-5759
79,비산2동,비산한화꿈에그린,경기도 안양시 동안구 경수대로883번길 33 ,2009,10,774,031-469-7301,031-469-7341
80,비산2동,화성 파크드림,경기도 안양시 동안구 비산동 경수대로 947,2014,1,191,031-466-0957,031-466-0958
81,비산2동,평촌래미안푸르지오,경기도 안양시 동안구 경수대로884번길 12,2021,10,1199,031-360-5016,031-360-5026
82,비산2동,"한양수자인평촌리버뷰(진흥,로얄 재건축)",경기도 안양시 동안구 경수대로813번길 14-11,2021,4,304,031-442-9963,031-442-9964
83,비산3동,비산성원,경기도 안양시 동안구 일동로 15,1995,1,282,031-388-2812,031-382-2812
84,비산3동,평촌엘프라우드,경기도 안양시 동안구 매곡로 23,2024,35,2739,031-382-4700,031-382-4701
85,부흥동,"관악타운(동성,현대,청구)",경기도 안양시 동안구 학의로 20,1992,24,1800,031-382-1696,031-382-1692
86,부흥동,관악부영,경기도 안양시 동안구 학의로 46,1993,10,796,031-381-6446,031-346-6447
