시군명,설계사무소명,신고일,착공신고지도로명주소,착공신고지지번주소,시공사명,착공용도,위도,경도,데이터기준일
안양시,(주)이에이엔종합건축사사무소,2024-07-23,,경기도 안양시 만안구 안양동 1148,옥부종합건설 주식회사,제1종근린생활시설,37.372066,126.904655,2026-05-31
안양시,건축사사무소 매우람,2024-07-09,,경기도 안양시 만안구 석수동 550-7 외3필지,(주)선구건설,제2종근린생활시설,37.422413,126.896483,2026-05-31
안양시,건축사사무소 매우람,2024-07-11,석수로435번길 119,경기도 안양시 만안구 석수동 548-6 외1필지,(주)선구건설,단독주택,37.422747,126.896988,2026-05-31
안양시,진원건축사사무소,2024-08-27,삼덕로 88,경기도 안양시 만안구 안양동 711-122,서안종합건설(주),제2종근린생활시설,37.396156,126.917514,2026-05-31
안양시,젬마종합건축사사무소,2024-10-07,현충로 55,경기도 안양시 만안구 안양동 472-2,성진건설(주),제1종근린생활시설,37.390526,126.92562,2026-05-31
안양시,참터건축사사무소,2024-10-29,,경기도 안양시 만안구 석수동 389-3,(주)참터,공동주택,37.43094,126.905896,2026-05-31
안양시,미건종합건축사사무소,2024-10-29,예술공원로154번길 61,경기도 안양시 만안구 안양동 1336-1,,단독주택,37.416632,126.924156,2026-05-31
안양시,(주)야긴건축사사무소,2024-11-13,,경기도 안양시 만안구 석수동 349-3 외6필지,선석건설(주),종교시설,37.413104,126.903977,2026-05-31
안양시,(주)종합건축사사무소 우림,2025-01-23,일직로 119,경기도 안양시 만안구 석수동 555-7,(주) 구암종합건설,자동차관련시설,37.420622,126.895473,2026-05-31
안양시,미건종합건축사사무소,2025-01-09,안양로 285,경기도 안양시 만안구 안양동 676-114 외1필지,주식회사 월하종합건설,제1종근린생활시설,37.398062,126.921878,2026-05-31
안양시,(주)도원건축사사무소,2025-01-21,만안로 120,경기도 안양시 만안구 안양동 604-3,,제2종근린생활시설,37.393911,126.930463,2026-05-31
안양시,우정건축사사무소,2025-02-19,장내로 80-2,경기도 안양시 만안구 안양동 710-85,,단독주택,37.394713,126.917749,2026-05-31
안양시,(주)건축사사무소 제이엔피,2025-03-05,안양로510번길 9,경기도 안양시 만안구 석수동 277-5,프라임건설(주),종교시설,37.415219,126.908509,2026-05-31
안양시,텐건축사사무소,2025-02-28,,경기도 안양시 만안구 안양동 419-1 외4필지,용성종합건설(주),제2종근린생활시설,37.381933,126.929043,2026-05-31
안양시,다온건축사사무소,2025-03-14,병목안로 278,경기도 안양시 만안구 안양동 1112 외3필지,강남도시건설주식회사,제2종근린생활시설,37.38127,126.906179,2026-05-31
안양시,벽진종합건축사사무소(주),2025-03-18,,경기도 안양시 만안구 안양동 991-62 외1필지,,제2종근린생활시설,37.392126,126.906778,2026-05-31
안양시,(주)건축사사무소 마당,2025-03-17,,경기도 안양시 만안구 안양동 622-351,우산종합건설(주),제1종근린생활시설,37.395641,126.92463,2026-05-31
안양시,건축사사무소에스앤케이,2025-03-21,박달우회로164번길 52,경기도 안양시 만안구 안양동 834-31,신호건설(주),제2종근린생활시설,37.406322,126.914306,2026-05-31
안양시,주식회사 건축사사무소하다,2025-03-28,,경기도 안양시 만안구 박달동 922,(주)수리솔종합건설,단독주택,37.410972,126.885198,2026-05-31
안양시,건영건축사사무소,2025-04-01,안양로 362,경기도 안양시 만안구 안양동 847-27,강산종합건설(주),제2종근린생활시설,37.403805,126.917734,2026-05-31
안양시,엘림건축사사무소,2025-04-14,경수대로 1359,경기도 안양시 만안구 석수동 392-15 외2필지,대산종합건설(주),제2종근린생활시설,37.427787,126.904348,2026-05-31
안양시,미건종합건축사사무소,2025-05-09,안양로 285-1,경기도 안양시 만안구 안양동 676-115 외5필지,,제1종근린생활시설,37.397796,126.921931,2026-05-31
안양시,상우 건축사사무소,2025-04-01,평촌대로223번길 41,경기도 안양시 동안구 호계동 1046-9,(주)디자인메소,제1종근린생활시설,37.390498,126.953518,2026-05-31
안양시,(주)다우건축사사무소,2025-05-08,관평로313번길 19,경기도 안양시 동안구 관양동 1400,명현종합건설(주),제2종근린생활시설,37.404207,126.956205,2026-05-31
안양시,하늘건축사사무소,2025-03-18,관악대로 411,경기도 안양시 동안구 관양동 1437-43,주식회사산들종합건설,제2종근린생활시설,37.405256,126.967782,2026-05-31
안양시,주식회사 에이드건축사사무소,2024-12-19,호성로 61,경기도 안양시 동안구 호계동 791-2 외3필지,경안종합건설주식회사,제1종근린생활시설,37.367412,126.965017,2026-05-31
안양시,종합건축사사무소포광,2024-11-25,학의로 260,경기도 안양시 동안구 관양동 1307-158 외1필지,주성산업개발 주식회사,제1종근린생활시설,37.402147,126.967516,2026-05-31
안양시,(주)아이디엔지니어링건축사사무소,2025-04-14,경기도 안양시 동안구 비산동 82-23,경기도 안양시 동안구 비산동 82-23,(주)길성산업개발,"국방,군사시설",37.416475,126.944329,2026-05-31
안양시,젬마종합건축사사무소,2024-10-22,관평로212번길 32,경기도 안양시 동안구 관양동 1592-1,318299865,제1종근린생활시설,37.395923,126.960754,2026-05-31
안양시,젬마종합건축사사무소,2024-09-06,호성로 28,경기도 안양시 동안구 호계동 839-3,주식회사 양지종합건설,교육연구시설,37.36441,126.964109,2026-05-31
안양시,(주)종합건축사사무소 우림,2024-06-26,평촌대로427번길 60-54,경기도 안양시 동안구 비산동 108-1 외1필지,강남도시개발 주식회사,단독주택,37.408696,126.947256,2026-05-31
안양시,메가 건축사사무소,2024-08-21,시민대로327번길 12-18,경기도 안양시 동안구 관양동 1739-5,주식회사42아키랩,공장,37.398127,126.967603,2026-05-31
안양시,이음디자인 파트너스건축사사무소,2024-08-09,경기도 안양시 동안구 비산동 304-22,경기도 안양시 동안구 비산동 304-22,명가토건주식회사,종교시설,37.404327,126.942986,2026-05-31
안양시,신세대 건축사사무소,2024-09-25,경기도 안양시 동안구 관양동 105-16,경기도 안양시 동안구 관양동 105-16,삼안종합건설주식회사,제2종근린생활시설,37.406903,126.97472,2026-05-31
안양시,다온건축사사무소,2024-08-21,흥안대로 457-11,경기도 안양시 동안구 평촌동 88-1,,창고시설,37.394924,126.974787,2026-05-31
안양시,건축사사무소동행,2024-09-10,경기도 안양시 동안구 관양동 1456-32,경기도 안양시 동안구 관양동 1456-32,(주)아이에스종합건설,공동주택,37.402755,126.963314,2026-05-31
안양시,빔건축사사무소,2024-08-21,시민대로 131,경기도 안양시 동안구 호계동 901-13,주식회사중봉종합건설,제1종근린생활시설,37.388176,126.946695,2026-05-31
안양시,(주)경호엔지니어링종합건축사사무소,2024-10-07,,경기도 안양시 동안구 관양동 504-4 외32필지,재성종합건설(주),제1종근린생활시설,37.410388,126.963211,2026-05-31
안양시,일신 건축사사무소,2024-08-12,귀인로 51,경기도 안양시 동안구 호계동 910-4,(주)화성종합건설,공장,37.384056,126.946517,2026-05-31
안양시,(주)도원건축사사무소,2025-05-12,평촌대로117번길 23,경기도 안양시 동안구 호계동 1067-7,,단독주택,37.382165,126.95911,2026-05-31
