시설,주소,규모(제곱미터),최대 수용인원(명)
안양1동행정복지센터 지하,경기도 안양시 만안구 장내로 170(안양동),570,690
안양중앙지하상가,경기도 안양시 만안구 안양로 지하301(안양동),2310,2800
안양역전지하상가,경기도 안양시 만안구 만안로 지하231(안양동),15794,19144
주공뜨란채아파트,"경기도 안양시 만안구 안양천서로 289(안양동, 주공뜨란채)",17988,21803
만안초등학교 앞 지하도,경기도 안양시 만안구 안양로384번길 13(안양동),330,400
안양2동행정복지센터,경기도 안양시 만안구 안양로384번길 50(안양동),327,396
경남아너스빌아파트,"경기도 안양시 만안구 태평로 214(안양동, 안양동 경남아너스빌)",7244,8780
안양2동 삼성아파트,경기도 안양시 만안구 예술공원로 57(안양동),3181,3855
미래엠피아파트,"경기도 안양시 만안구 만안로 272(안양동, 안양 미래엠피아)",6460,7830
영화아이닉스아파트,"경기도 안양시 만안구 만안로 368(안양동, 영화아이닉스아파트)",2439,2956
안양3동정우아파트,"경기도 안양시 만안구 양화로 53(안양동, 정우아파트)",564,683
안양월드,경기도 안양시 만안구 안양로329번길 108(안양동),10124,12271
성원1차아파트,"경기도 안양시 만안구 병목안로 81(안양동, 성원1차아파트)",4049,4907
2001아울렛,경기도 안양시 만안구 안양로 275(안양동),4950,6000
중앙성당,경기도 안양시 만안구 장내로 116(안양동),3636,4407
서안양우체국 앞 지하도,경기도 안양시 만안구 안양로 233(안양동),149,180
근명고등학교(합주실),경기도 안양시 만안구 삼덕로 49(안양동),165,200
"안양대학교(대신관, 수리관)",경기도 안양시 만안구 삼덕로37번길 22(안양동),2033,2464
성원쌍떼빌아파트,"경기도 안양시 만안구 삼덕로63번길 32(안양동, 수리산성원상떼빌2차)",13386,16225
안양6동행정복지센터 지하,경기도 안양시 만안구 안양로170번길 23(안양동),274,332
안양세무서,경기도 안양시 만안구 냉천로 83(안양동),112,135
국립농산물품질관리원,경기도 안양시 만안구 안양로 114(안양동),116,140
만안구청,경기도 안양시 만안구 안양로 128(안양동),1096,1328
상공회의소,경기도 안양시 만안구 안양로 133(안양동),264,320
신성고등학교,경기도 안양시 만안구 소곡로 93(안양동),1247,1511
호정타워,경기도 안양시 만안구 만안로 49(안양동),4188,5076
명지캐럿162,"경기도 안양시 만안구 만안로 17(안양동, 명지캐럿162주상복합아파트)",8366,10140
안양씨엘포레자이,"경기도 안양시 만안구 소곡로 78(안양동, 안양씨엘포레자이)",6782,8221
유천팩토피아,경기도 안양시 만안구 전파로 30(안양동),6747,8178
레미안안양메가트리아,"경기도 안양시 만안구 안양천서로 177(안양동, 래미안 안양 메가트리아)",74159,89889
안양아트센터,경기도 안양시 만안구 문예로36번길 16(안양동),3185,3860
성결대학교,경기도 안양시 만안구 성결대학로 53(안양동),3680,4460
안양8동다목적복지관,경기도 안양시 만안구 명학로5번길 12(안양동),136,164
도정빌딩,경기도 안양시 만안구 안양로 115(안양동),5145,6236
안양8동행정복지센터,경기도 안양시 만안구 안양로111번길 17(안양동),987,1196
율목주공아파트,"경기도 안양시 만안구 병목안로110번길 12(안양동, 주공아파트)",5529,6701
효성화운트빌아파트,"경기도 안양시 만안구 병목안로130번길 83(안양동, 효성아파트)",1200,1454
신성미소지움아파트,"경기도 안양시 만안구 능곡로36번길 19(안양동, 신성안양미소지움)",3215,3896
수리산현대홈타운아파트,"경기도 안양시 만안구 창박로 17(안양동, 수리산 현대홈타운)",9672,11723
관악역지하보도,경기도 안양시 만안구 경수대로1273번길 46(석수동),149,180
예술공원사거리지하보도,"경기도 안양시 만안구 삼성산길 8(석수동, 석수역푸르지오아파트)",168,203
석수역푸르지오아파트,"경기도 안양시 만안구 삼성산길 8(석수동, 석수역푸르지오아파트)",21590,26169
석수2동행정복지센터,경기도 안양시 만안구 안양로 496 (석수동),1248,1512
석수엘지빌리지아파트,"경기도 안양시 만안구 연현로79번길 56(석수동, 석수 엘지 빌리지)",34337,41620
석수2동 현대아파트,"경기도 안양시 만안구 안양로532번길 12(석수동, 현대아파트)",32426,39304
충훈동 행정복지센터,경기도 안양시 만안구 충훈로90번길 36(석수동),1595,1933
석수현대아이파크아파트,경기도 안양시 만안구 충훈로 71(석수동),51674,62635
박달1동행복복지센터,경기도 안양시 만안구 양화로127번길 9(박달동),386,467
박달1동벽산아파트,"경기도 안양시 만안구 양화로135번길 45(박달동, 박달벽산아파트)",8161,9892
3차한신휴플러스아파트,"경기도 안양시 만안구 박달로497번길 57(박달동, 한신휴플러스타운)",13766,16686
세창짜임아파트,"경기도 안양시 만안구 박달로525번길 20-13(박달동, 짜임아파트)",2123,2573
한라비발디아파트,"경기도 안양시 만안구 박달로 453(박달동, 한라비발디아파트)",33000,40000
박달2동금호아파트,"경기도 안양시 만안구 삼봉로 61(박달동, 금호타운)",2158,2615
대림한숲타운,"경기도 안양시 만안구 박달로 344(박달동, 대림한숲타운아파트)",11570,14024
박달2동행정복지센터 지하 민방위대피시설,경기도 안양시 만안구 박달로 470(박달동),4426,5365
대림대학앞 지하보도,경기도 안양시 동안구 경수대로 980(비산동),331,401
삼성래미안아파트136동지하1층주차장,"경기도 안양시 동안구 관악대로 135(비산동, 비산 삼성 래미안)",4007,4856
삼성래미안아파트111동지하1층주차장,"경기도 안양시 동안구 관악대로 121(비산동, 비산 삼성 래미안)",13022,15784
삼성래미안아파트128동지하1층주차장,"경기도 안양시 동안구 관악대로 135(비산동, 비산 삼성 래미안)",4007,4856
