id,pnu,dong,jibun,use,year,fl_up,fl_dn,score,grade,f_nbv,f_age,lon,lat
2820,4117110300100230006,박달동,23-6,제1종근린생활시설,1980.0,2.0,1.0,0.7402,A,0.153,46.0,126.909096,37.406034
2465,4117110300100150006,박달동,15-6,제1종근린생활시설,1990.0,5.0,1.0,0.7015,A,0.184,36.0,126.90894,37.404767
44524,4117110100108340038,안양동,834-38,공동주택,2014.0,5.0,0.0,0.6966,A,0.118,12.0,126.914502,37.405134
6730,4117310200114200037,관양동,1420-37,제1종근린생활시설,1991.0,4.0,1.0,0.6569,A,0.114,35.0,126.961135,37.404361
2958,4117110300100220037,박달동,22-37,제1종근린생활시설,1983.0,3.0,1.0,0.6013,A,0.152,43.0,126.908875,37.405546
10669,4117110100107110235,안양동,711-235,제1종근린생활시설,1991.0,3.0,1.0,0.6008,A,0.073,35.0,126.918499,37.395502
5064,4117310200114910037,관양동,1491-37,제1종근린생활시설,1987.0,3.0,1.0,0.6005,A,0.177,39.0,126.974658,37.400117
3002,4117110300100170003,박달동,17-3,제2종근린생활시설,1979.0,3.0,1.0,0.5901,A,0.174,47.0,126.90949,37.403867
812,4117110200107850023,석수동,785-23,제2종근린생활시설,1988.0,4.0,1.0,0.5825,A,0.222,38.0,126.898304,37.407152
44809,4117110100109460036,안양동,946-36,공동주택,2016.0,5.0,0.0,0.5744,A,0.051,10.0,126.914896,37.397987
32992,4117310100100390001,비산동,39-1,제2종근린생활시설,2010.0,3.0,0.0,0.5724,A,0.348,16.0,126.952159,37.414499
44507,4117110100108300010,안양동,830-10,공동주택,2014.0,5.0,0.0,0.5695,A,0.144,12.0,126.914412,37.403239
3145,4117110200108250000,석수동,825,제2종근린생활시설,2006.0,3.0,0.0,0.5681,A,0.25,20.0,126.923198,37.419397
811,4117110200107850012,석수동,785-12,제2종근린생활시설,1989.0,3.0,1.0,0.5669,A,0.2,37.0,126.898057,37.407097
840,4117110200107850008,석수동,785-8,제2종근린생활시설,1988.0,4.0,1.0,0.5663,A,0.188,38.0,126.897794,37.407208
3397,4117110100109000006,안양동,900-6,제1종근린생활시설,1991.0,4.0,1.0,0.5651,A,0.143,35.0,126.912719,37.401431
10956,4117110100107190001,안양동,719-1,제1종근린생활시설,1980.0,2.0,1.0,0.5563,A,0.054,46.0,126.91441,37.393587
21773,4117310300109180009,평촌동,918-9,단독주택,1994.0,3.0,1.0,0.5549,A,0.211,32.0,126.961776,37.383335
5461,4117110200102690016,석수동,269-16,제2종근린생활시설,1984.0,3.0,1.0,0.5525,A,0.051,42.0,126.910506,37.416388
44810,4117110100109460036,안양동,946-36,공동주택,2016.0,5.0,0.0,0.548,A,0.052,10.0,126.914975,37.398182
2941,4117110300100160019,박달동,16-19,제2종근린생활시설,1991.0,5.0,1.0,0.5456,A,0.217,35.0,126.909101,37.404575
44504,4117110100108250005,안양동,825-5,공동주택,2015.0,5.0,0.0,0.5436,A,0.094,11.0,126.913572,37.404617
814,4117110200107850022,석수동,785-22,제2종근린생활시설,1992.0,4.0,1.0,0.5389,A,0.264,34.0,126.898269,37.40735
1943,4117110200103230013,석수동,323-13,제2종근린생활시설,1990.0,4.0,1.0,0.5369,A,0.067,36.0,126.911117,37.412876
21445,4117310300109000009,평촌동,900-9,제2종근린생활시설,2000.0,7.0,2.0,0.5366,A,0.348,26.0,126.960448,37.383941
13970,4117310100105540007,비산동,554-7,제2종근린생활시설,1983.0,2.0,1.0,0.5351,A,0.024,43.0,126.932862,37.399647
5460,4117110200102690028,석수동,269-28,제2종근린생활시설,1984.0,3.0,1.0,0.5347,A,0.103,42.0,126.91058,37.416317
49298,4117110200103230003,석수동,323-3,공동주택,2017.0,5.0,0.0,0.5316,A,0.043,9.0,126.911788,37.412516
21763,4117310300109170001,평촌동,917-1,제1종근린생활시설,1994.0,3.0,1.0,0.5309,A,0.274,32.0,126.961433,37.383459
10841,4117310200113900005,관양동,1390-5,제1종근린생활시설,1986.0,3.0,1.0,0.5285,A,0.071,40.0,126.955383,37.405411
3354,4117110100109000018,안양동,900-18,단독주택,1990.0,4.0,1.0,0.5239,A,0.13,36.0,126.913469,37.401582
19582,4117310300109000001,평촌동,900-1,제2종근린생활시설,1995.0,7.0,4.0,0.5231,A,0.462,31.0,126.959883,37.385001
2990,4117110300100160010,박달동,16-10,제1종근린생활시설,1980.0,3.0,1.0,0.5199,A,0.2,46.0,126.909199,37.404408
22330,4117310400110670004,호계동,1067-4,단독주택,1994.0,3.0,1.0,0.5198,A,0.123,32.0,126.958776,37.382048
26291,4117310400107050006,호계동,705-6,제2종근린생활시설,1979.0,3.0,1.0,0.5196,A,0.096,47.0,126.954083,37.368244
2883,4117110300108380028,박달동,838-28,제1종근린생활시설,1987.0,3.0,1.0,0.5186,A,0.083,39.0,126.904301,37.404596
19542,4117310300109180011,평촌동,918-11,단독주택,1994.0,3.0,1.0,0.5176,A,0.239,32.0,126.961653,37.383571
3792,4117110200103090005,석수동,309-5,공동주택,2013.0,5.0,0.0,0.5167,A,0.1,13.0,126.909803,37.410829
1933,4117110100108170033,안양동,817-33,제2종근린생활시설,1984.0,4.0,1.0,0.5158,A,0.119,42.0,126.913753,37.410486
24314,4117310300109200011,평촌동,920-11,제1종근린생활시설,1994.0,3.0,1.0,0.5142,A,0.229,32.0,126.962598,37.382985
42888,4117110200103130001,석수동,313-1,공동주택,2014.0,5.0,0.0,0.5097,A,0.114,12.0,126.910856,37.409526
44190,4117110100105540010,안양동,554-10,공동주택,2014.0,5.0,0.0,0.5085,A,0.059,12.0,126.929868,37.383785
5628,4117310100110260011,비산동,1026-11,제2종근린생활시설,1985.0,3.0,1.0,0.5072,A,0.227,41.0,126.948777,37.403862
2559,4117110100106950043,안양동,695-43,제1종근린생활시설,1978.0,4.0,1.0,0.5057,A,0.25,48.0,126.919075,37.400358
28904,4117110300100300010,박달동,30-10,공동주택,2013.0,5.0,0.0,0.5051,A,0.058,13.0,126.910843,37.406664
27340,4117110100113550005,안양동,1355-5,제2종근린생활시설,2007.0,3.0,1.0,0.5051,A,0.333,19.0,126.926991,37.419954
19574,4117310300109200010,평촌동,920-10,제1종근린생활시설,1996.0,3.0,1.0,0.5042,A,0.258,30.0,126.962431,37.38293
27594,4117310200115020006,관양동,1502-6,제2종근린생활시설,2008.0,14.0,7.0,0.5032,A,0.257,18.0,126.976148,37.400334
21762,4117310300109170002,평촌동,917-2,단독주택,1994.0,3.0,1.0,0.4916,A,0.254,32.0,126.961515,37.383318
12199,4117310200113920004,관양동,1392-4,단독주택,1986.0,3.0,1.0,0.4906,A,0.063,40.0,126.95557,37.407006
19529,4117310300109180006,평촌동,918-6,단독주택,1994.0,3.0,1.0,0.4882,A,0.218,32.0,126.961979,37.38297
17094,4117110100107110056,안양동,711-56,제2종근린생활시설,1989.0,3.0,1.0,0.4821,A,0.118,37.0,126.919956,37.396519
21708,4117310300109290008,평촌동,929-8,제1종근린생활시설,1996.0,3.0,1.0,0.4797,A,0.211,30.0,126.964668,37.382881
44189,4117110100105520019,안양동,552-19,공동주택,2014.0,5.0,0.0,0.4774,A,0.036,12.0,126.930541,37.383758
44806,4117110100109080068,안양동,908-68,공동주택,2015.0,5.0,1.0,0.4774,A,0.062,11.0,126.911797,37.399442
21706,4117310300109280009,평촌동,928-9,제1종근린생활시설,1995.0,3.0,1.0,0.474,A,0.163,31.0,126.964742,37.38332
19227,4117310300109280014,평촌동,928-14,단독주택,1996.0,3.0,1.0,0.4727,A,0.216,30.0,126.964099,37.383089
21771,4117310300109170005,평촌동,917-5,단독주택,1995.0,3.0,1.0,0.4722,A,0.247,31.0,126.961738,37.382904
44506,4117110100108300001,안양동,830-1,공동주택,2015.0,5.0,0.0,0.4688,A,0.087,11.0,126.913485,37.403379
33940,4117310200114880036,관양동,1488-36,제1종근린생활시설,1985.0,6.0,1.0,0.4678,A,0.281,41.0,126.976215,37.401434
17099,4117110100107110273,안양동,711-273,제1종근린생활시설,1980.0,2.0,1.0,0.4661,A,0.106,46.0,126.919583,37.396935
19530,4117310300109190005,평촌동,919-5,단독주택,1995.0,3.0,1.0,0.4653,A,0.264,31.0,126.962331,37.383101
21779,4117310300109180003,평촌동,918-3,단독주택,1995.0,3.0,0.0,0.4649,A,0.184,31.0,126.96196,37.383316
21775,4117310300109170010,평촌동,917-10,단독주택,1994.0,3.0,1.0,0.4631,A,0.304,32.0,126.961339,37.383326
17060,4117110100104140007,안양동,414-7,제2종근린생활시설,1984.0,4.0,1.0,0.4628,A,0.033,42.0,126.927351,37.392132
28004,4117110300100150002,박달동,15-2,제1종근린생활시설,2007.0,3.0,0.0,0.4625,A,0.212,19.0,126.908759,37.405123
19549,4117310300109180010,평촌동,918-10,단독주택,1995.0,3.0,1.0,0.4619,A,0.224,31.0,126.961709,37.383452
22035,4117310300109190004,평촌동,919-4,단독주택,1995.0,3.0,1.0,0.4619,A,0.253,31.0,126.962479,37.383156
24709,4117310300109280012,평촌동,928-12,단독주택,2001.0,3.0,1.0,0.4609,A,0.196,25.0,126.964363,37.383166
3431,4117110100108730170,안양동,873-170,제1종근린생활시설,1992.0,3.0,1.0,0.4607,A,0.269,34.0,126.917415,37.400782
19233,4117310300109280006,평촌동,928-6,단독주택,1995.0,3.0,1.0,0.4601,A,0.148,31.0,126.964416,37.383391
34892,4117310200115060027,관양동,1506-27,제2종근린생활시설,2005.0,11.0,2.0,0.4539,A,0.171,21.0,126.977439,37.399738
2389,4117110200101030005,석수동,103-5,제2종근린생활시설,1994.0,4.0,1.0,0.4494,A,0.286,32.0,126.909174,37.419913
5629,4117310100110260010,비산동,1026-10,제1종근린생활시설,1992.0,3.0,1.0,0.4479,A,0.261,34.0,126.948566,37.40386
2937,4117110300100170004,박달동,17-4,제1종근린생활시설,1990.0,4.0,1.0,0.4479,A,0.18,36.0,126.909565,37.403772
12247,4117110100108300029,안양동,830-29,공동주택,2013.0,5.0,0.0,0.4438,A,0.16,13.0,126.9141,37.403251
13440,4117310100104190020,비산동,419-20,제1종근린생활시설,1979.0,3.0,1.0,0.4428,A,0.037,47.0,126.938948,37.397303
44226,4117110100105710003,안양동,571-3,공동주택,2014.0,5.0,0.0,0.4422,A,0.053,12.0,126.931954,37.383379
43550,4117110100105430005,안양동,543-5,공동주택,2014.0,5.0,0.0,0.4418,A,0.084,12.0,126.929261,37.384654
45165,4117110100109730119,안양동,973-119,공동주택,2014.0,5.0,0.0,0.4412,A,0.05,12.0,126.907602,37.393444
2893,4117110300100540001,박달동,54-1,제1종근린생활시설,1980.0,3.0,1.0,0.4406,A,0.097,46.0,126.910688,37.40638
23755,4117310200115060008,관양동,1506-8,단독주택,1999.0,3.0,0.0,0.44,A,0.179,27.0,126.977817,37.399216
21738,4117310300109280008,평촌동,928-8,단독주택,1994.0,3.0,1.0,0.4396,A,0.154,32.0,126.96466,37.38348
38539,4117110200100720006,석수동,72-6,공동주택,2015.0,4.0,0.0,0.4385,A,0.233,11.0,126.911662,37.423485
21749,4117310300109180004,평촌동,918-4,단독주택,1994.0,3.0,1.0,0.4383,A,0.241,32.0,126.96203,37.383178
19249,4117310300109200004,평촌동,920-4,단독주택,1996.0,3.0,1.0,0.4381,A,0.159,30.0,126.962937,37.38311
19550,4117310300109190009,평촌동,919-9,단독주택,1995.0,3.0,1.0,0.4381,A,0.189,31.0,126.962052,37.383623
2563,4117110100106890112,안양동,689-112,제2종근린생활시설,1985.0,5.0,1.0,0.4368,A,0.174,41.0,126.919598,37.4014
21746,4117310300109190006,평촌동,919-6,단독주택,1994.0,3.0,1.0,0.4349,A,0.256,32.0,126.962257,37.383241
